"직업별","학력별","성별","연령",1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999
"직업별","학력별","성별","연령",평균연령 (세),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),근로자수 (명),평균연령 (세),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),근로자수 (명),평균연령 (세),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),근로자수 (명),평균연령 (세),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),근로자수 (명),평균연령 (세),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),근로자수 (명),평균연령 (세),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),근로자수 (명),평균연령 (세),총근로시간수 (시간),정상근로시간수 (시간),초과근로시간수 (시간),근로자수 (명)
"고위임직원및관리자 (1)","전학력","남","~ 19세",19.0,219.0,184.0,35.0,8,-,-,-,-,-,-,-,-,-,-,18.5,210.8,191.0,19.8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"고위임직원및관리자 (1)","전학력","남","20 ~ 24",23.5,207.5,195.9,11.6,61,23.5,194.2,171.9,22.4,27,24.0,194.2,194.2,0.0,13,22.2,194.4,187.3,7.0,91,23.6,193.2,193.2,0.0,225,23.2,200.1,194.6,5.4,154,22.0,204.0,204.0,0.0,117
"고위임직원및관리자 (1)","전학력","남","25 ~ 29",27.9,197.7,194.6,3.1,1406,28.4,202.0,197.5,4.5,2330,27.6,188.4,183.4,5.0,505,27.9,194.0,192.4,1.6,1473,27.5,187.6,185.3,2.3,1231,27.9,190.9,190.0,0.9,1404,28.0,208.7,196.3,12.5,2583
"고위임직원및관리자 (1)","전학력","남","30 ~ 34",32.6,201.6,194.7,7.0,12172,32.6,199.7,192.3,7.3,10066,32.6,205.9,192.5,13.3,6574,32.8,189.5,185.9,3.5,7197,32.5,187.9,183.3,4.5,5083,32.6,195.7,192.5,3.3,6197,32.8,201.7,197.8,4.0,11627
"고위임직원및관리자 (1)","전학력","남","35 ~ 39",37.2,202.1,195.2,6.9,32978,37.3,200.0,193.0,7.0,33800,37.4,197.0,190.7,6.3,28239,37.3,188.1,183.1,5.0,30211,37.4,189.1,184.4,4.7,31715,37.7,194.9,190.0,4.9,29929,37.4,200.5,195.8,4.8,43166
"고위임직원및관리자 (1)","전학력","남","40 ~ 44",42.0,200.5,194.3,6.2,44801,42.0,197.0,191.8,5.3,46597,42.0,198.0,190.7,7.4,45919,42.0,187.4,182.4,5.0,48462,42.1,188.0,182.4,5.6,50621,42.0,192.9,188.5,4.5,61084,42.1,199.1,193.7,5.4,75902
"고위임직원및관리자 (1)","전학력","남","45 ~ 49",46.8,199.4,194.2,5.2,40903,46.9,194.9,189.9,5.0,39621,46.9,195.5,189.1,6.4,44372,47.0,188.0,182.4,5.6,46911,47.0,187.6,181.7,5.9,49955,47.0,191.7,187.1,4.6,47259,46.8,196.9,193.1,3.8,57506
"고위임직원및관리자 (1)","전학력","남","50 ~ 54",51.8,198.4,193.9,4.5,29553,52.0,195.2,191.2,4.0,31975,52.0,194.1,189.0,5.1,29390,52.0,184.4,180.6,3.8,32109,51.8,186.1,182.2,3.9,37705,51.7,190.0,186.7,3.3,36193,51.8,196.8,193.7,3.1,43076
"고위임직원및관리자 (1)","전학력","남","55 ~ 59",56.6,197.3,194.0,3.3,18081,56.7,196.2,191.7,4.5,19978,56.8,194.2,189.8,4.5,20367,56.6,187.7,183.5,4.3,22791,56.7,186.1,182.1,4.0,22557,56.6,192.0,189.4,2.7,23531,56.9,197.3,194.3,3.0,23706
"고위임직원및관리자 (1)","전학력","남","60세 ~",64.3,196.3,194.7,1.6,12595,64.5,195.0,192.6,2.4,14782,64.1,190.7,189.5,1.3,16043,64.9,185.3,182.7,2.5,17279,65.2,185.1,182.9,2.1,19710,64.5,190.1,188.0,2.1,17406,64.9,195.2,193.1,2.2,25885
"고위임직원및관리자 (1)","전학력","여","~ 19세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,175.0,175.0,0.0,40,-,-,-,-,-,-,-,-,-,-
